Officer,Bureau,Summons Count
M. Ramirez #2025,Traffic Bureau,646
D. Cassidy #2008,Traffic Bureau,417
D. Rizzi #2030,Traffic Bureau,395
J. Squillace #0711,Traffic Bureau,340
K. Torres #2027,Traffic Bureau,327
