TYPE,Count of TICKET_NUMBER,Month_Year
M,282,08-24
M,463,09-24
M,379,10-24
M,369,11-24
M,452,12-24
M,421,01-25
M,274,02-25
M,443,04-25
M,309,05-25
M,305,06-25
M,402,07-25
M,679,08-25
P,2150,08-24
P,2566,09-24
P,2616,10-24
P,2339,11-24
P,2230,12-24
P,2771,01-25
P,2373,02-25
P,3070,04-25
P,3012,05-25
P,2900,06-25
P,3815,07-25
P,3399,08-25
