TYPE,Count of TICKET_NUMBER,Month_Year
M,463,09-24
M,379,10-24
M,369,11-24
M,452,12-24
M,421,01-25
M,274,02-25
M,443,04-25
M,309,05-25
M,305,06-25
M,402,07-25
M,679,08-25
M,290,09-25
P,2103,09-24
P,2237,10-24
P,1970,11-24
P,1778,12-24
P,2350,01-25
P,2099,02-25
P,2627,04-25
P,2703,05-25
P,2595,06-25
P,3413,07-25
P,2720,08-25
P,3818,09-25
U,282,09-25
