TYPE,Month_Year,Total Tickets
M,09-24,926
M,10-24,758
M,11-24,738
M,12-24,904
M,01-25,842
M,02-25,548
M,04-25,886
M,05-25,618
M,06-25,610
M,07-25,804
M,08-25,1358
M,09-25,565
P,09-24,4669
P,10-24,4853
P,11-24,4309
P,12-24,4008
P,01-25,5121
P,02-25,4472
P,04-25,5697
P,05-25,5715
P,06-25,5495
P,07-25,7228
P,08-25,6119
P,09-25,4025
